Customer_i_Unique_ID,Customer_i_ID,Customer_i_Star_Rating,Customer_i_Comment,Customer_i_buying_influence,Customer_i_Date,product,category,price_dollars,star_ratings,total_ratings
B0CFTKVHQ2-Unavailable,Unavailable,,Unavailable,,1677-09-21,Call of Duty Modern Warfare III - PS5,video_games,69.99,0.0,0
B0BF55WQH5-RTMGEU61FSKS0,RTMGEU61FSKS0,1.0,Product not as advertised,7.0,2023-03-13,X51 Handheld Game Console 5.0 inch Pro Retro Games Consoles Classic Video Games Built-in Preinstalled Rechargeable Battery Portable Style Gaming Consoles 64GB Blue Red,video_games,64.99,3.8,22
B0CDPTRWZ9-RCFONXZS49EST,RCFONXZS49EST,5.0,Works as described,0.0,2023-10-23,"Retro Game Console - Plug and Play Video Game Console,Compatible with 17 Emulators,2T Portable External Hard Drive for Win PC/Laptop with PC/3D Games",video_games,119.99,2.9,25
B097B2YWFX-RCCL1UYNFJE7S,RCCL1UYNFJE7S,5.0,"Fast, simple, easy, arrived quickly!",0.0,2023-10-26,The Legend of Zelda: Tears of the Kingdom - Nintendo Switch (US Version),video_games,57.84,4.9,16399
B0C5XP759G-R1GX18364L465U,R1GX18364L465U,2.0,Some games don't work,0.0,2023-10-24,Miyoo Mini Plus Handheld Game Console 3.5 inch Classic System Retro Video Games Consoles Portable Rechargeable Hand Held 64G with Case (Gray),video_games,79.99,4.4,303
B07KWNQQH6-R2QG6H943OREZP,R2QG6H943OREZP,5.0,Great,0.0,2023-09-21,Ava & Carol Detective Agency Series: Books 1-3 (Book Bundle 1): Middle Grade Mystery Adventure Action for Girls Ages 8-15 Children,video_games,0.0,4.6,444
3963267771-RAJIWKTX16S16,RAJIWKTX16S16,5.0,My daughter loved it!,1.0,2023-10-15,Legend of the Star Runner: A Timmi Tobbson Adventure Book for Boys and Girls (Solve-Them-Yourself Mysteries for Kids 8-12),video_games,8.88,4.7,4861
B0CH17YLNC-Unavailable,Unavailable,,Unavailable,,1677-09-21,Call of Duty: Modern Warfare III - Cross-Gen Bundle - PRE-PURCHASE - Xbox [Digital Code],video_games,69.99,0.0,0
B07QHQJ34B-R1EJZTV7SI4AKN,R1EJZTV7SI4AKN,5.0,Came on time and as advertized.,0.0,2023-10-26,Game of Thrones: Complete Series [DVD],video_games,73.36,4.6,10271
1648450814-R18W6WUCYPVHN,R18W6WUCYPVHN,3.0,Age not defined,0.0,2023-10-19,"Interesting Stories for Curious Kids: A Fascinating Collection of the Most Interesting, Unbelievable, and Craziest Stories on Earth!",video_games,11.9,4.6,2228
B08F5VX2KW-R1HDW8BFWA4MJC,R1HDW8BFWA4MJC,5.0,Great game for my 6 year old,0.0,2023-10-25,Paw Patrol Mighty Pups Save Adventure Bay - Nintendo Switch,video_games,18.89,4.7,3351
B0BFJWCYTL-R3VQC7QAC3R1QW,R3VQC7QAC3R1QW,5.0,my great grandson loves this!  thank you amazon,0.0,2023-10-26,Nintendo Switch™ with Neon Blue and Neon Red Joy‑Con™,video_games,299.0,4.8,4886
B0CK7J4XYT-R2DTQDN1H2C8X3,R2DTQDN1H2C8X3,5.0,Will Team Kaboom capture Pierre?,2.0,2023-10-17,S.M.A.R.T. (Secret Missions and Rad Technology): Mastermind,video_games,0.0,5.0,8
B08FC6C75Y-RI86C30BVNXXF,RI86C30BVNXXF,5.0,Good!,0.0,2023-10-26,PlayStation DualSense Wireless Controller,video_games,69.0,4.8,84816
B0CFPV347V-Unavailable,Unavailable,,Unavailable,,1677-09-21,Star Trek: Resurgence - Xbox Series X,video_games,39.99,0.0,0
B0731MCF1R-R1X2UFQCUZUF1U,R1X2UFQCUZUF1U,4.0,Fun,0.0,2023-10-11,"Blood, Sweat, and Pixels: The Triumphant, Turbulent Stories Behind How Video Games Are Made",video_games,0.0,4.6,4686
B0CFQM6BC9-R37I191Q9SAKZL,R37I191Q9SAKZL,1.0,There are not 620 games and some of them are fake,0.0,2023-10-10,"Classic Edition Mini Retro Game Console,AV Output Plug & Play Classic Mini Video Games, Built-in 620 Games with 2 Classic Controllers, Birthday Gifts Choice for Children/Adults",video_games,19.99,2.5,4
B0BCNKKZ91-RVT8Q56W93G80,RVT8Q56W93G80,5.0,Perfect,0.0,2023-10-26,PlayStation 5 Console (PS5),video_games,499.0,4.8,5757
B09S5W7QSY-RSRUQ2Z3YDM3M,RSRUQ2Z3YDM3M,4.0,Decent system!,0.0,2023-10-24,"AJFKOOP Retro Game Console – Classic Mini Retro Game System Built-in 620 Games and 2 Controllers, 8-Bit Video Game System with Classic Games, Old-School Gaming System for Adults and Kids",video_games,19.99,3.7,1449
B0C7GW9F88-R2N3R29AHZ7B6,R2N3R29AHZ7B6,5.0,No issues!,0.0,2023-10-26,"GameSir G7 SE Wired Controller for Xbox Series X|S, Xbox One & Windows 10/11, Plug and Play Gaming Gamepad with Hall Effect Joysticks/Hall Trigger, 3.5mm Audio Jack",video_games,44.99,4.4,1146
B0BB1MJDM9-R1W0GX3RC4MNMX,R1W0GX3RC4MNMX,5.0,Works well for non tech kiddos,0.0,2023-07-13,Handheld Game for Kids Built-in 230 HD Classic Retro Video Games USB Rechargeable 3.0 Inch Childrens Travel Electronics Toys Portable Gaming Player System Gift for Boys Girls Ages 4-8-12,video_games,34.99,4.0,58
1524858803-R1PTX47CQRJJEQ,R1PTX47CQRJJEQ,5.0,My teen love this!,0.0,2023-03-06,Escape from a Video Game: The Secret of Phantom Island (Volume 1),video_games,9.3,4.7,1121
1524871958-R1F7BDHXOWTMME,R1F7BDHXOWTMME,5.0,Another great book in the series!,0.0,2023-02-20,Escape from a Video Game: The Endgame (Volume 3),video_games,7.24,4.9,125
B0CBBDY22Q-R3KD3SYFWND6R3,R3KD3SYFWND6R3,1.0,Disappointed,0.0,2023-09-27,"Heiko Retro Portable Handheld Game Console to Experience 500 Classic Games Anytime Anywhere, 3.5In Screen Video Game Console 1200mAh, Handheld Video Game Support for Connecting TV & Two Players(Green)",video_games,30.99,4.2,82
B0CH9LBH29-R1I37U7414OS4I,R1I37U7414OS4I,1.0,Glitching,0.0,2023-10-25,"Retro Game Stick - Revisit Classic Games with Built-in 9 Emulators, 20,000+ Games, 4K HDMI Output, and 2.4GHz Wireless Controller for TV Plug and Play",video_games,38.91,4.4,963
B0CDBSGWD6-R2WD881Z3QS7Q1,R2WD881Z3QS7Q1,2.0,Not all of the games work or are supported by the system.,6.0,2023-08-29,"Super Classic Retro Game Console,HDMI Video Game System Built in 5000 Classic Games,Dual Game Controllers Wireless & Plug and Play.",video_games,65.99,3.3,5
B0C65DZC3V-Unavailable,Unavailable,,Unavailable,,1677-09-21,"Retro Game Console with 48214 Retro Games, S905X4 Game Consoles Plug and Play for 4K TV, EmuELEC 4.6 Game System, Android 11, 256G Super Emulator Console with 76 Emulators, 2 Wireless Controller, WiFi",video_games,129.99,3.4,2
B0C99NS35F-RNEU4U3HIXUEU,RNEU4U3HIXUEU,5.0,A good buy at a good price!,0.0,2023-10-15,"Wireless Retro Game Console, Nostalgia Stick Game, Plug & Play Video TV Game Stick with 10000+ Games Built-in, 64G, Nostalgiastick Game Console, 4K HDMI Output, Dual 2.4G Wireless Controllers",video_games,49.99,4.2,13
1449495737-R3110WGQAB459O,R3110WGQAB459O,5.0,Amazing BOOK!,0.0,2023-04-11,Trapped in a Video Game: The Final Boss (Volume 5),video_games,6.99,4.9,1600
B0B8DC548J-RRY91LXBWT7N3,RRY91LXBWT7N3,5.0,Awesome controller!  Great grip and nice looking to boot!,0.0,2023-10-26,"Wireless Switch Pro Controller - Switch Controllers Compatible With Nintendo Switch/Lite/OLED,Multi-Platform PC/IOS/Android, Switch Pro Controller With 9 Adjustable Light Colors,Programmable,TURBO",video_games,29.99,4.5,313
B0BBCF6K2W-R1DFRIN1W8AIR9,R1DFRIN1W8AIR9,5.0,Good little system for the price,0.0,2023-03-06,"Handheld Game Console, Retro Game Console with 500 Classical Games, 3.0-Inch Screen, Handheld Games Support for Connecting TV & Two Players, Gifts for Kids & Adults",video_games,17.99,3.6,15
B0CJHD3JZ8-Unavailable,Unavailable,,Unavailable,,1677-09-21,Like a Dragon: Infinite Wealth - PlayStation 5,video_games,69.99,0.0,0
B09XN8DSPM-R6F0AZOBOSX24,R6F0AZOBOSX24,1.0,Not worth it,0.0,2023-09-08,"Retro Classic Game Console,Video Game System Built-in 926 NES Games with Dual 2.4G Wireless Controllers,16-Bit 4K HDMI Output,Rerto Toys Gifts.",video_games,49.99,3.2,47
